datetime,NO1_label,NO2_label,NO3_label,NO4_label,NO5_label,NO1_pct_hourly_label,NO2_pct_hourly_label,NO3_pct_hourly_label,NO4_pct_hourly_label,NO5_pct_hourly_label,NO1_pct_daily_label,NO2_pct_daily_label,NO3_pct_daily_label,NO4_pct_daily_label,NO5_pct_daily_label
2025-05-31 07:00:00+02:00,0.60128,0.61932,0.05724,0.0,0.47139,-0.08292534126439399,-0.08648130393096842,0.7536764705882351,,-0.038685863447263324,0.0,0.8598788352550235,77.21362229102166,0.0,0.0
2025-05-31 08:00:00+02:00,0.5653,0.57427,0.09184,0.0,0.47403,-0.059839010111761626,-0.07274107085190218,0.6044723969252273,,0.00560045821930899,0.0,0.0,259.87460815047024,0.0,0.0
2025-05-31 09:00:00+02:00,0.45219,0.45955,0.15046,0.0,0.40874,-0.20008844861135688,-0.19976666028174894,0.6382839721254356,,-0.1377338986983947,0.0,0.0,179.09478760897795,0.0,0.0
2025-05-31 10:00:00+02:00,0.13736,0.13862,0.06736,0.00011,0.13403,-0.6962338839868196,-0.6983570884560983,-0.5523062608002127,,-0.6720898370602338,0.0,0.0,0.0,0.0,0.0
2025-05-31 11:00:00+02:00,0.07207,0.07379,0.02207,0.0,0.06747,-0.4753203261502622,-0.4676814312509018,-0.6723574821852731,-1.0,-0.4966052376333657,0.0,0.0,0.0,0.0,0.0
2025-05-31 12:00:00+02:00,0.33667,0.34449,0.10805,0.0,0.31472,3.6714305536284177,3.6685187694809605,3.8957861350249203,,3.664591670372017,0.0,0.0,15.19189765458422,0.0,0.0
2025-05-31 13:00:00+02:00,0.16736,0.1715,0.04931,0.0,0.15644,-0.5028960109305849,-0.502162617202241,-0.5436372049976863,,-0.5029232333502796,0.0,0.0,0.0,0.0,0.0
2025-05-31 14:00:00+02:00,0.44863,0.45967,0.12805,0.0,0.38966,1.6806285850860418,1.6802915451895042,1.5968363415128777,,1.490795193045257,0.0,0.0,179.89071038251367,0.0,0.0
2025-05-31 15:00:00+02:00,0.53426,0.54955,0.10471,0.00414,0.43518,0.19086998194503257,0.19553157700089185,-0.1822725497852401,,0.11681979161320122,0.0,0.0,0.0,0.0,0.0
2025-05-31 16:00:00+02:00,0.57806,0.59254,0.05219,0.0,0.42541,0.08198255531014875,0.07822764079701572,-0.5015757807277241,-1.0,-0.02245048026104146,0.0,0.0,0.0,31.52364273204904,0.0
2025-05-31 17:00:00+02:00,0.75392,0.78553,0.04069,0.02839,0.52357,0.3042244749679963,0.32569953083336145,-0.22034872580954212,,0.23074210761383118,33.7188059807382,29.62755160976252,0.0,116.7175572519084,0.0
2025-05-31 18:00:00+02:00,0.7745,0.83737,0.03241,0.03115,0.53748,0.027297325976230802,0.06599366033124143,-0.20348980093389035,0.0972173300457908,0.02656760318582041,24.569755846495323,21.760309428255688,0.0,0.0,1.674138811645176
2025-05-31 19:00:00+02:00,0.8576,0.99198,0.12058,0.03736,0.53369,0.10729502905100063,0.18463761539104584,2.720456649182351,0.19935794542536112,-0.007051425169308567,17.18248274919725,28.90222984562607,66.77731673582296,0.0,0.9782032846439082
2025-05-31 20:00:00+02:00,0.87312,0.99278,0.07046,0.02943,0.53208,0.01809701492537319,0.0008064678723360696,-0.41565765466909943,-0.21225910064239817,-0.003016732560100488,20.84036869931076,28.41214817880795,0.0,48.86191198786041,0.9811922339678424
2025-05-31 21:00:00+02:00,0.86979,0.97611,0.03678,0.02402,0.53174,-0.003813908741066574,-0.016791232700094638,-0.47800170309395396,-0.18382602786272517,-0.0006390016538866394,25.012935494998256,27.967434909148125,0.0,0.0,2.618831657564113
